Symbol	Description
EZM	Midcap Earnings Wisdomtree
EZU	EMU Index MSCI Ishares
EZY	Largecap Value Wisdomtree
FAA	Airline ETF
FAB	Multi Cap Value Alphadex First Trust
FAD	Multi Cap Growth Alphadex First Trust
FAN	Global Wind Energy First Trust
FAS	Financial Bull 3X Direxion
FAUS	Australia Alphadex First Trust
FAX	Aberdeen Asia-Pacific
FAZ	Financial Bear 3X Direxion
FBG	Fisher Enhanced Big Cap Growth
FBT	NYSE Arca Biotech Index First Trust
FBZ	Brazil Alphadex First Trust
FCA	China Alphadex First Trust
FCAN	Canada Alphadex First Trust
FCG	ISE Revere Natural Gas First Trust
FCO	Aberdeen Global
FDD	Stoxx Euro Select Div First Trust
FDL	Mstar Div Leaders First Trust
FDM	DJ Select Microcap First Trust
FDN	DJ Internet Index First Trust
FDT	Dev Mkts Ex-US Alphadex First Trust
FDTS	Dev Mkts Ex-US SC Alphadex First Trust
FDV	Strategic Value Index First Trust
FEM	Emrg Mkts Alphadex First Trust
FEMS	Emrg Mkts SC Alphadex First Trust
FEN	Energy Income And Growth Fund
FEP	Europe Alphadex First Trust
FEU	SPDR Stoxx Europe 50
FEX	Largecap Core Alphadex First Trust
FEZ	SPDR Euro Stoxx 50
FFI	Fortune Diversified Industries
FFR	FTSE En Dev Mkts Rel Est First Trust
FGD	DJ Global Select Dividend First Trust
FGEM	Financial GEMS ETF Egshares
FGM	Germany Alphadex First Trust
FHK	Hong Kong Alphadex First Trust
FILL	Global Energy Producers MSCI Ishares
FINU	Proshares Ultrapro Financials
FINZ	Proshares Ultrapro Short Financ
FIVZ	3-7 Year U.S. Treasury Index ETF Pimco
FIW	ISE Water Idx First Trust
FJP	Japan Alphadex First Trust
FKO	South Korea Alphadex First Trust
FKU	United Kingdom Alphadex First Trust
FLAT	US Trsy Flattener ETN Ipath
FLL	Full House Resorts
FLM	ISE Glbl Engnrg & Const First Trust
FLN	Latin America Alphadex First Trust
FLOT	Floating Rate Note Ishares
FLRN	SPDR Inv Gr Floating Rt ETF Barclays Capital
FLTR	Inverse Grade Floating Rt ETF Market Vectors
FM	Fleetmatics Group Plc.
FMK	Megacap Alphadex First Trust
FNI	ISE Chindia First Trust
FNIO	FTSE Nareit Industrl/Offc Cp Idx Ishares
FNK	Midcap Value Alphadex First Trust
FNX	Midcap Core Alphadex First Trust
FNY	Midcap Growth Alphadex First Trust
FOH	Frederick's Of Hollywood Group
FOIL	Aluminum Pure Beta ETN Ipath
FOL	Oil Bull S&P 500 Bear Factorshares
FPA	Asia Pacific Ex-Jap Alphadex First Trust
FPP	Fieldpoint Petroleum Corp.
FPP.W	Fieldpoint Petroleum Warrant
FPX	US Ipo Index First Trust
FRAK	Unconventl Oil & Gas ETF Market Vectors
FRD	Friedman Industries Inc.
FRI	S&P REIT Index First Trust
FRN	Frontier Markets Guggenheim
FRS	Frisch's Restaurants
FSA	2X Tbond Bull S&P 500 Bear Factorshares
FSE	2X S&P 500 Bull T-Bond Bear Factorshares
FSG	2X Gold Bull S&P 500 Bear Factorshares
FSI	Flexible Solutions International Inc.
FSP	Franklin Street Properties
FSU	2X S&P 500 Bull USD Bear Factorshares
FSZ	Switzerland Alphadex First Trust
